"Target value","Lower bound","Upper bound","State","Target name","Row name","Measure name","Source code","Section name","Row value"
806.260778,763.09,849.43,"Total","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Total"
765.648849,724.46,806.84,"Total","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","White"
683.421238,582.77,784.07,"Total","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Black or African American"
915.346564,833.4,997.29,"Total","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Hispanic or Latino"
1114.772781,864.15,1365.39,"Total","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Asian"
574.156989,340.49,807.82,"Total","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native American"
837.940407,323.49,1352.39,"Total","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native Hawaiian/Pacific Islander"
739.889326,603.63,876.15,"Total","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","More than one race"
106.591869,56.91,156.28,"Alabama","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Total"
67.536817,19.7,115.38,"Alabama","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","White"
86.327064,12.74,159.92,"Alabama","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Black or African American"
39.798031,-87.24,166.83,"Alabama","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Hispanic or Latino"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Asian"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native American"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native Hawaiian/Pacific Islander"
378.858695,-9.32,767.04,"Alabama","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","More than one race"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Total"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","White"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Black or African American"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Hispanic or Latino"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Asian"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native American"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native Hawaiian/Pacific Islander"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","More than one race"
20.312781,-2.22,42.85,"Arizona","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Total"
31.084435,-14.22,76.39,"Arizona","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","White"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Black or African American"
18.186565,-4.23,40.6,"Arizona","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Hispanic or Latino"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Asian"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native American"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native Hawaiian/Pacific Islander"
NA,NA,NA,"Arizona","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","More than one race"
370.961362,186.95,554.97,"Arkansas","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Total"
451.307019,285.7,616.91,"Arkansas","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","White"
136.477692,39.19,233.77,"Arkansas","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Black or African American"
318.874071,169.51,468.24,"Arkansas","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Hispanic or Latino"
NA,NA,NA,"Arkansas","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Asian"
NA,NA,NA,"Arkansas","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native American"
NA,NA,NA,"Arkansas","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native Hawaiian/Pacific Islander"
460.514562,-916.72,1837.75,"Arkansas","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","More than one race"
1156.917522,988.09,1325.75,"California","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Total"
890.471358,754.63,1026.31,"California","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","White"
1298.134798,581.95,2014.32,"California","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Black or African American"
1164.683733,1010.15,1319.22,"California","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Hispanic or Latino"
1464.359127,893.33,2035.39,"California","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Asian"
NA,NA,NA,"California","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native American"
NA,NA,NA,"California","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native Hawaiian/Pacific Islander"
883.472746,586.19,1180.76,"California","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","More than one race"
1387.455578,1140.47,1634.44,"Colorado","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Total"
1358.479544,950.47,1766.49,"Colorado","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","White"
NA,NA,NA,"Colorado","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Black or African American"
1351.262475,768.6,1933.92,"Colorado","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Hispanic or Latino"
NA,NA,NA,"Colorado","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Asian"
NA,NA,NA,"Colorado","State grants total","Race/Ethnicity","Average","xreibq","F1 Averages","Native American"
