"Target value","Lower bound","Upper bound","State","Target name","Row name","Measure name","Source code","Section name","Row value"
835.533562,789.03,882.04,"Total","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Total"
801.21946,758.34,844.1,"Total","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","White"
722.681246,615,830.36,"Total","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Black or African American"
927.797046,841.33,1014.26,"Total","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Hispanic or Latino"
1132.844346,879.78,1385.91,"Total","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Asian"
589.010335,344.79,833.24,"Total","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Native American"
883.289102,352.03,1414.55,"Total","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Native Hawaiian/Pacific Islander"
755.230922,611.66,898.8,"Total","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","More than one race"
109.142106,56.66,161.62,"Alabama","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Total"
69.318173,19.35,119.28,"Alabama","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","White"
88.7321,12.9,164.56,"Alabama","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Black or African American"
42.855718,-99.28,184.99,"Alabama","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Hispanic or Latino"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Asian"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Native American"
NA,NA,NA,"Alabama","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Native Hawaiian/Pacific Islander"
395.573405,-3.76,794.9,"Alabama","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","More than one race"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Total"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","White"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Black or African American"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Hispanic or Latino"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Asian"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Native American"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Native Hawaiian/Pacific Islander"
NA,NA,NA,"Alaska","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","More than one race"
20.830527,-2.12,43.78,"Arizona","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","Total"
33.072697,-14.33,80.47,"Arizona","State grants total","Race/Ethnicity","Average","kqfyse","F1 Averages","White"
